nome;uf;cod_tse;cod_ibge
GOIAN?SIA;GO;93718;5208608
GOIANDIRA;GO;93696;5208509
GOIAN?POLIS;GO;93670;5208400
DIVIN?POLIS DE GOI?S;GO;93092;5208301
GAMELEIRA DE GOI?S;GO;93564;5208152
FORMOSO;GO;93637;5208103
FORMOSA;GO;93610;5208004
FLORES DE GOI?S;GO;93599;5207907
FIRMIN?POLIS;GO;93572;5207808
FAZENDA NOVA;GO;93530;5207600
FAINA;GO;92223;5207535
ESTRELA DO NORTE;GO;93513;5207501
ED?IA;GO;93491;5207402
EDEALINA;GO;92207;5207352
DOVERL?NDIA;GO;96750;5207253
DIORAMA;GO;93432;5207105
DAVIN?POLIS;GO;93394;5206909
DAMOL?NDIA;GO;93378;5206800
DAMIAN?POLIS;GO;93351;5206701
CUMARI;GO;93335;5206602
CROM?NIA;GO;93319;5206503
CRIX?S;GO;93297;5206404
CRISTIAN?POLIS;GO;93270;5206305
CRISTALINA;GO;93254;5206206
CORUMBA?BA;GO;93190;5205901
CORUMB? DE GOI?S;GO;93173;5205802
C?RREGO DO OURO;GO;93157;5205703
COLINAS DO SUL;GO;92126;5205521
COCALZINHO DE GOI?S;GO;92886;5205513
CIDADE OCIDENTAL;GO;93025;5205497
CHAPAD?O DO C?U;GO;92924;5205471
CEZARINA;GO;92100;5205455
CERES;GO;93076;5205406
CAVALCANTE;GO;93050;5205307
CATURA?;GO;93033;5205208
CATAL?O;GO;93017;5205109
CASTEL?NDIA;GO;92967;5205059
CARMO DO RIO VERDE;GO;92991;5205000
CAMPOS VERDES;GO;92061;5204953
CAMPOS BELOS;GO;92975;5204904
CAMPO LIMPO DE GOI?S;GO;93580;5204854
CAMPO ALEGRE DE GOI?S;GO;92959;5204805
CAMPINORTE;GO;92932;5204706
CAMPINA?U;GO;96873;5204656
CAMPESTRE DE GOI?S;GO;92916;5204607
CALDAZINHA;GO;93122;5204557
CALDAS NOVAS;GO;92894;5204508
CAIAP?NIA;GO;92878;5204409
CA?U;GO;92851;5204300
CACHOEIRA DOURADA;GO;96733;5204250
CACHOEIRA DE GOI?S;GO;92835;5204201
CACHOEIRA ALTA;GO;92819;5204102
CABECEIRAS;GO;92797;5204003
BURITIN?POLIS;GO;93262;5203962
BURITI DE GOI?S;GO;93106;5203939
BURITI ALEGRE;GO;92770;5203906
BRIT?NIA;GO;92754;5203807
BRAZABRANTES;GO;92711;5203609
BON?POLIS;GO;93408;5203575
BONFIN?POLIS;GO;92029;5203559
BOM JESUS DE GOI?S;GO;92690;5203500
BOM JARDIM DE GOI?S;GO;92673;5203401
BELA VISTA DE GOI?S;GO;92657;5203302
