wdb_code,region,pt,iso3,ponto_lat,ponto_lon,is_small,continent5,continent7
TWN,Taiwan,Taiwan,TWN,23.65,120.97,NA,Asia,Asia
FRO,Faroe Islands,Ilhas Faroe,FRO,62.08,-6.9,NA,Europe,Europe
GIB,Gibraltar,Gibraltar,GIB,36.13,-5.34,NA,Europe,Europe
GRL,Greenland,Groenlândia,GRL,68.64,-43.28,NA,Europe,North America
IMN,Isle of Man,Ilha de Man,IMN,54.2,-4.55,NA,Europe,Europe
XKX,Kosovo,Kosovo,KSV,42.54,20.89,Yes,Europe,Europe
VGB,British Virgin Islands,Ilhas Virgens Britânicas,VGB,18.42,-64.62,NA,America,Central America
CYM,Cayman Islands,Ilhas Cayman,CYM,19.31,-81.24,NA,America,Central America
DMA,Dominica,Dominica,DMA,15.4,-61.34,Yes,America,Central America
SXM,Sint Maarten,Sint Maarten,SXM,18.03,-63.05,NA,America,Central America
KNA,Saint Kitts,São Cristóvão e Névis,KNA,17.28,-62.68,NA,America,Central America
MAF,Saint Martin,Saint Martin,MAF,18.09,-63.04,NA,America,Central America
TCA,Turks and Caicos Islands,Ilhas Turcas e Caicos,TCA,21.77,-71.76,NA,America,Central America
VIR,NA,Ilhas Virgens Americanas,VIR,17.72,-64.76,NA,America,Central America
BMU,Bermuda,Bermuda,BMU,32.3,-64.75,NA,America,Central America
VAT,Vatican,Vaticano,VAT,41.902841,12.45307,Yes,Europe,Europe
,French Guiana,Guiana Francesa,,4.075451,-53.156833,NA,America,South America
,Tokelau,Toquelau,,-9.166667,-172,Yes,Oceania,Oceania
